"filename", "language", "Lua", "Markdown", "JSON", "YAML", "comment", "blank", "total"
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_find.lua", "Lua", 101, 0, 0, 0, 26, 31, 158
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_help_format.lua", "Lua", 35, 0, 0, 0, 4, 5, 44
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_helplist.lua", "Lua", 57, 0, 0, 0, 1, 5, 63
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_history.lua", "Lua", 63, 0, 0, 0, 2, 7, 72
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_imageview.lua", "Lua", 26, 0, 0, 0, 3, 5, 34
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\test_lgui.lua", "Lua", 47, 0, 0, 0, 10, 9, 66
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\threads.lua", "Lua", 22, 0, 0, 0, 5, 8, 35
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\time.lua", "Lua", 56, 0, 0, 0, 6, 6, 68
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\tree.lua", "Lua", 62, 0, 0, 0, 12, 19, 93
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\turtle.lua", "Lua", 253, 0, 0, 0, 14, 25, 292
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\turtle_farmer.lua", "Lua", 293, 0, 0, 0, 66, 64, 423
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\turtle_miner.lua", "Lua", 346, 0, 0, 0, 58, 58, 462
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\ver.lua", "Lua", 14, 0, 0, 0, 6, 6, 26
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\programs\wget.lua", "Lua", 46, 0, 0, 0, 3, 10, 59
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\00_fs.lua", "Lua", 148, 0, 0, 0, 24, 30, 202
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\10_package.lua", "Lua", 99, 0, 0, 0, 7, 26, 132
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\15_term.lua", "Lua", 303, 0, 0, 0, 11, 75, 389
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\20_io.lua", "Lua", 9, 0, 0, 0, 0, 5, 14
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\30_peripheral.lua", "Lua", 139, 0, 0, 0, 4, 42, 185
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\35_http.lua", "Lua", 112, 0, 0, 0, 31, 26, 169
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\40_commands.lua", "Lua", 26, 0, 0, 0, 1, 10, 37
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\startup\90_settings.lua", "Lua", 82, 0, 0, 0, 1, 19, 102
"d:\Projects\Lua\LeonOS\leonos\data\computercraft\lua\rom\update.lua", "Lua", 62, 0, 0, 0, 6, 18, 86
"d:\Projects\Lua\LeonOS\leonos\installer.lua", "Lua", 167, 0, 0, 0, 14, 30, 211
"d:\Projects\Lua\LeonOS\leonos\unbios.lua", "Lua", 84, 0, 0, 0, 33, 1, 118
"d:\Projects\Lua\LeonOS\leonos\updater.lua", "Lua", 261, 0, 0, 0, 34, 54, 349
"Total", "-", 10842, 140, 14, 44, 1124, 2344, 14508
